Blekinge	 Karlskrona	 Karlskrona	 Blekingesjukhuset	 Apoteket Eken	 Grupp 7 (Vårdapoteket i Norden)
Stockholm	 Stockholm	 Kista	 Edvard Griegsgången 11	 Apoteket Grävlingen	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Liljeholmstorget 11	 Apoteket Ärlan	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Älvsjö	 Solberga hagväg 1	 Apoteket Ekorren	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Hägersten	 Telefonplan	 Apoteket Orren	 Småföretagare
Stockholm	 Stockholm	 Hägersten	 Axelsbergs torg 5	 Apoteket Gasellen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Hägersten	 Störtloppsvägen 34	 Apoteket Pantern	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Älvsjö	 Annebodavägen 4-6	 Apoteket Liseberg	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Skärholmen	 Bredängstorget 4	 Apoteket Spoven	 Kvar i Apoteket AB
Stockholm	 Botkyrka	 Norsborg	 Alby Centrum	 Apoteket Opalen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Botkyrka	 Norsborg	 Hallunda Centrum	 Apoteket Källan	 Kvar i Apoteket AB
Stockholm	 Södertälje	 Järna	 Storgatan 11	 Apoteket Misteln	 Småföretagare
Stockholm	 Södertälje	 Södertälje	 Kringlan GallerianStorgatan 4-6	 Apoteket S:ta Ragnhild	 Kvar i Apoteket AB
Stockholm	 Salem	 Rönninge	 Säby Torg 6	 Apoteket Hägern	 Småföretagare
Stockholm	 Botkyrka	 Tullinge	 Kvällsvägen 5	 Apoteket Mullvaden	 Småföretagare
Stockholm	 Huddinge	 Huddinge	 Stuvsta Torget 10	 Apoteket Vargen	 Grupp 2 (Kronans Droghandel)
Stockholm	 Huddinge	 Huddinge	 Sjödalstorget 5	 Apoteket Ejdern	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Huddinge	 Huddinge	 Karolinska Universitetssjukhuset i Huddinge	 Apoteket Nova	 Kvar i Apoteket AB
Stockholm	 Södertälje	 Södertälje	 S:ta Ragnhildsgatan 3 Gallerian Luna	 Apoteket Kronan	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Nykvarn	 Nykvarn	 Centrumvägen 28	 Apoteket Nyponet	 Kvar i Apoteket AB
Stockholm	 Södertälje	 Södertälje	 Rosenborgsgatan 6-10	 Apoteket Rosen Södertälje sjukhus	 Grupp 6 (Vårdapoteket i Norden)
Stockholm	 Huddinge	 Skogås	 Skogåstorget 9	 Apoteket Linnéan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Värtavägen 55	 Apoteket Hägern	 Småföretagare
Stockholm	 Södertälje	 Södertälje	 Storgatan 17 Stortorget	 Apoteket Shop Södertälje	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Holländargatan 4	 Apoteket Orfeus	 Småföretagare
Stockholm	 Nacka	 Nacka	 Simbagatan 23 Sickla	 Apoteket Atlas	 Grupp 3 (Medstop)
Stockholm	 Täby	 Täby	 Attundafältet 16	 Apoteket Orion	 Kvar i Apoteket AB
Stockholm	 Täby	 Täby	 Saluvägen Arninge Centrum	 Apoteket Hästhoven	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Bandhagen	 Högdalsgången 32	 Apoteket Fasanen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Värmdö	 Gustavsberg	 Värmdö Köpcentrum	 Apoteket Skutan	 Kvar i Apoteket AB
Stockholm	 Sollentuna	 Sollentuna	 Köpcentrum Stinsen	 Apoteket Stinsen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Drottningholmsvägen 16	 Apoteket Shop Drottningholmsvägen (del av Kungsmyntan, Stockholm)	 Kvar i Apoteket AB
Stockholm	 Huddinge	 Kungens kurva	 Diagonalvägen 10	 Apoteket Kungsfågeln	 Grupp 2 (Kronans Droghandel)
Stockholm	 Solna	 Solna	 Centralvägen 14 Solna Centrum	 Apoteket Fjärilen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Sergelgatan 29	 Apoteket Shop Sergelgatan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Johanneshov	 Arenavägen 63	 Apoteket Globen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Kista	 Kista Galleria	 Apoteket Shop Kista	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Götgatan 23	 Apoteket Shop Götgatsbacken	 Kvar i Apoteket AB
Stockholm	 Järfälla	 Järfälla	 Jakobsbergs Centrum	 Apoteket Shop Järfälla	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Kungsgatan 15	 Apoteket Svanen	 Kvar i Apoteket AB
Stockholm	 Tyresö	 Tyresö	 Kumla Allé 3	 Apoteket Trollsländan	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Hamngatan 10-14 PK-Huset	 Apoteket Shop Hamngatan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Kungsgatan 51	 Apoteket Shop Kungsgatan	 Kvar i Apoteket AB
Stockholm	 Haninge	 Haninge	 Haninge Centrum	 Apoteket Shop Haninge	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Skärholmstorget 3	 Apoteket Flamingon	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Farsta	 Farstaplan 25	 Apoteket Shop Farsta	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Mäster Samuelsgatan 49	 Apoteket Nordstjärnan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Solna	 Solna	 Bibliotekstorget	 Apoteket Shop Solna	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Humlegårdsgatan 10	 Apoteket Elefanten	 Kvar i Apoteket AB
Stockholm	 Lidingö	 Lidingö	 Herserudsvägen 1	 Apoteket Viggen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 S:t Eriksgatan 45	 Apoteket Västermalmsgallerian	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Hammarby allé 91	 Apoteket Nyckelpigan	 Småföretagare
Stockholm	 Sundbyberg	 Sundbyberg	 Stationsgatan 1-5	 Apoteket Järven	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Norrtälje	 Norrtälje	 Tullportsgatan 13	 Apoteket Aklejan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Lindhagensgatan 118	 Apoteket Linden	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Stockholm	 Liljeholmstorget	 Apoteket Murgrönan	 Grupp 2 (Kronans Droghandel)
Stockholm	 Nynäshamn	 Nynäshamn	 Centralgatan 9, 149 32 NYNÄSHAMN	 Apoteket Havsörnen	 Grupp 2 (Kronans Droghandel)
Södermanland	 Vingåker	 Vingåker	 Bondegatan 8-10	 Apoteket Kronan	 Småföretagare
Södermanland	 Gnesta	 Gnesta	 Marieströmsgatan 6	 Apoteket Katten	 Småföretagare
Södermanland	 Trosa	 Trosa	 Tomtaklintgatan 2	 Apoteket Kronan	 Småföretagare
Södermanland	 Nyköping	 Nyköping	 Västra Storgatan 25	 Apoteket Gripen	 Kvar i Apoteket AB
Södermanland	 Nyköping	 Nyköping	 Lasarettet	 Apoteket Nyköpings lasarett EA	 Grupp 6 (Vårdapoteket i Norden)
Södermanland	 Nyköping	 Nyköping	 Hälsovägen 1	 Apoteket Ekensberg	 Grupp 2 (Kronans Droghandel)
Södermanland	 Oxelösund	 Oxelösund	 Järntorget 2	 Apoteket Ejdern	 Småföretagare
Södermanland	 Katrineholm	 Katrineholm	 Hantverkaregatan 1	 Apoteket Svanen	 Grupp 3 (Medstop)
Södermanland	 Katrineholm	 Katrineholm	 Kullbergska sjukhuset	 Apoteket Linden	 Grupp 6 (Vårdapoteket i Norden)
Södermanland	 Flen	 Flen	 Norra Kungsgatan 11	 Apoteket Hjorten	 Grupp 2 (Kronans Droghandel)
Södermanland	 Flen	 Malmköping	 Siegrothsvägen 14	 Apoteket Kronan	 Kvar i Apoteket AB
Södermanland	 Eskilstuna	 Eskilstuna	 Kungsgatan 37	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Södermanland	 Eskilstuna	 Eskilstuna	 Mälarsjukhuset	 Apoteket Vita Tigern	 Grupp 6 (Vårdapoteket i Norden)
Södermanland	 Eskilstuna	 Eskilstuna	 Vårdcentralen Skiftinge	 Apoteket Lärkan	 Grupp 2 (Kronans Droghandel)
Södermanland	 Eskilstuna	 Eskilstuna	 Sturegatan 9	 Apoteket Ekorren	 Grupp 1 (Apotek Hjärtat)
Södermanland	 Strängnäs	 Mariefred	 Vårdcentralen	 Apoteket Kronan	 Småföretagare
Södermanland	 Strängnäs	 Strängnäs	 Trädgårdsgatan 8	 Apoteket Kronan	 Grupp 3 (Medstop)
Södermanland	 Eskilstuna	 Torshälla	 Östra torget	 Apoteket Svanen	 Kvar i Apoteket AB
Södermanland	 Katrineholm	 Katrineholm	 Kerstinbodagatan 37	 Apoteket Nävertorp	 Kvar i Apoteket AB
Södermanland	 Eskilstuna	 Eskilstuna	 Sveaplan Centrum	 Apoteket Lejonet	 Grupp 3 (Medstop)
Södermanland	 Eskilstuna	 Eskilstuna	 Albertina Nyströms väg 2	 Apoteket Tuna Park	 Grupp 2 (Kronans Droghandel)
Södermanland	 Eskilstuna	 Eskilstuna	 Kungsgatan 21	 Apoteket Shop Eskiltuna	 Grupp 3 (Medstop)
Södermanland	 Nyköping	 Nyköping	 Västerport	 Apoteket Shop Nyköping	 Kvar i Apoteket AB
Södermanland	 Nyköping	 Nyköping	 Stenbocksvägen 11	 Apoteket Stenbocken	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Svavagallerian	 Apoteket Uplands Vapen	 Småföretagare
Uppsala	 Uppsala	 Uppsala	 Svartbäcksgatan 8	 Apoteket Kronan	 Kvar i Apoteket AB
Uppsala	 Uppsala	 Uppsala	 Akademiska sjukhuset Ingång 70	 Apoteket Linnéan	 Grupp 6 (Vårdapoteket i Norden)
Uppsala	 Uppsala	 Uppsala	 Skolgatan 33B	 Apoteket Hägern	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Knivsta	 Knivsta	 Ängbyvägen 8	 Apoteket Mården	 Småföretagare
Uppsala	 Uppsala	 Uppsala	 Västertorg 5B	 Apoteket Näckrosen	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Heidenstamstorg	 Apoteket Sirius	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Svartbäcksgatan 52A	 Apoteket Svartbäcken	 Småföretagare
Uppsala	 Uppsala	 Uppsala	 Affärshuset Kvarnen Vaksalagatan 30	 Apoteket Lärkan	 Grupp 2 (Kronans Droghandel)
Uppsala	 Uppsala	 Uppsala	 Brantingstorg 9A	 Apoteket Källan	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Valthornsvägen 7	 Apoteket Björnen	 Grupp 3 (Medstop)
Uppsala	 Håbo	 Bålsta	 Bålsta Centrum	 Apoteket Vikingen	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Enköping	 Enköping	 Stora Torget	 Apoteket Fyra Liljor	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Enköping	 Enköping	 Lasarettet Kungsgatan 71A	 Apoteket Ugglan EA	 Kvar i Apoteket AB
Uppsala	 Östhammar	 Östhammar	 Rådhusgatan 1	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Uppsala	 Östhammar	 Gimo	 Vårdcentralen	 Apoteket Biet	 Kvar i Apoteket AB
Uppsala	 Östhammar	 Alunda	 Centrumvägen 3	 Apoteket Älgen	 Grupp 2 (Kronans Droghandel)
Uppsala	 Östhammar	 Österbybruk	 Dannemoravägen 2	 Apoteket Eken	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Östhammar	 Öregrund	 Rådhusgatan 6	 Apoteket Sälen	 Grupp 2 (Kronans Droghandel)
Uppsala	 Älvkarleby	 Skutskär	 Lillängsgatan 8	 Apoteket Furan	 Småföretagare
Uppsala	 Tierp	 Tierp	 Centralgatan 17	 Apoteket Fenix	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Tierp	 Tierp	 Liljevägen	 Apoteket Örnen	 Kvar i Apoteket AB
Uppsala	 Uppsala	 Storvreta	 Ärentunavägen 9	 Apoteket Björken	 Grupp 2 (Kronans Droghandel)
Uppsala	 Uppsala	 Uppsala	 Västgötaresan 64	 Apoteket Röllekan	 Kvar i Apoteket AB
Uppsala	 Uppsala	 Uppsala	 Gränby Centrum	 Apoteket Gripen	 Grupp 2 (Kronans Droghandel)
Uppsala	 Heby	 Heby	 Brogatan 16	 Apoteket Kronan	 Småföretagare
Uppsala	 Heby	 Östervåla	 Åbygränd 2	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Gränby Centrum. Marknadsgatan 1	 Apoteket Aros	 Grupp 1 (Apotek Hjärtat)
Uppsala	 Uppsala	 Uppsala	 Rapsgatan 1K	 Apoteket Liljan	 Småföretagare
Värmland	 Karlstad	 Vålberg	 Brattgårdsgatan 36	 Apoteket Myran	 Grupp 2 (Kronans Droghandel)
Värmland	 Karlstad	 Molkom	 Skolgatan 3A	 Apoteket Ulven	 Småföretagare
Värmland	 Forshaga	 Forshaga	 Storgatan 38	 Apoteket Lärkan	 Kvar i Apoteket AB
Värmland	 Forshaga	 Deje	 Älvdalsvägen 17	 Apoteket Lusten	 Kvar i Apoteket AB
Värmland	 Karlstad	 Karlstad	 Universitetsgatan 2	 Apoteket Beckasinen	 Grupp 2 (Kronans Droghandel)
Värmland	 Karlstad	 Karlstad	 Centralsjukhuset	 Apoteket Vargen	 Kvar i Apoteket AB
Värmland	 Karlstad	 Karlstad	 Nolbygatan 4	 Apoteket Björken	 Kvar i Apoteket AB
Värmland	 Hammarö	 Skoghall	 Åråsvägen 1	 Apoteket Fyren	 Småföretagare
Värmland	 Kil	 Kil	 Storgatan 28	 Apoteket Svalan	 Grupp 2 (Kronans Droghandel)
Värmland	 Kristinehamn	 Kristinehamn	 Tegelslagaregatan 21	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Värmland	 Kristinehamn	 Kristinehamn	 Sandbäcksgränd 2	 Apoteket Björnen	 Kvar i Apoteket AB
Värmland	 Storfors	 Storfors	 Hälsans hus Hammargatan 3	 Apoteket Humlan	 Småföretagare
Värmland	 Filipstad	 Filipstad	 Viktoriagatan 3	 Apoteket Kronan	 Småföretagare
Värmland	 Karlstad	 Karlstad	 Våxnäs Centrum	 Apoteket Vågen	 Småföretagare
Värmland	 Karlstad	 Karlstad	 Järnvägsgatan 2	 Apoteket Örnen	 Kvar i Apoteket AB
Värmland	 Karlstad	 Karlstad	 Centrumvägen 8	 Apoteket Källan	 Kvar i Apoteket AB
Värmland	 Karlstad	 Karlstad	 Rudstorget 5	 Apoteket Rönnen	 Småföretagare
Värmland	 Arvika	 Arvika	 Storgatan 28	 Apoteket Älgen	 Grupp 1 (Apotek Hjärtat)
Värmland	 Arvika	 Arvika	 Arvika Sjukhus	 Apoteket Uttern	 Grupp 1 (Apotek Hjärtat)
Värmland	 Eda	 Åmotfors	 Älvuddsgatan 19	 Apoteket	 Kvar i Apoteket AB
Värmland	 Eda	 Koppom	 Doktorsvägen 2	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Värmland	 Eda	 Charlottenberg	 Charlottenbergs köpcenter	 Apoteket Tallen	 Kvar i Apoteket AB
Värmland	 Årjäng	 Årjäng	 Storgatan 47	 Apoteket Kronan	 Kvar i Apoteket AB
Värmland	 Torsby	 Likenäs	 Apoteksvägen 1	 Apoteket Tjädern	 Grupp 2 (Kronans Droghandel)
Värmland	 Säffle	 Säffle	 Östra Storgatan 8	 Apoteket Svanen	 Kvar i Apoteket AB
Värmland	 Grums	 Grums	 Gamla vägen 89	 Apoteket Orren	 Kvar i Apoteket AB
Värmland	 Hagfors	 Hagfors	 Storgatan 3-5	 Apoteket Lokatten	 Grupp 1 (Apotek Hjärtat)
Värmland	 Hagfors	 Ekshärad	 Postvägen 1	 Apoteket Rödhaken	 Grupp 1 (Apotek Hjärtat)
Värmland	 Munkfors	 Munkfors	 Torget 2B	 Apoteket Laxen	 Grupp 1 (Apotek Hjärtat)
Värmland	 Torsby	 Torsby	 Nya Torget 5	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Värmland	 Sunne	 Sunne	 Kvarngatan 17	 Apoteket Stjärnan	 Kvar i Apoteket AB
Värmland	 Årjäng	 Töcksfors	 Töcksfors Shoppingcenter	 Apoteket Foxen	 Kvar i Apoteket AB
Värmland	 Karlstad	 Karlstad	 Bergvik köpcentra	 Apoteket Berguven	 Grupp 1 (Apotek Hjärtat)
Värmland	 Karlstad	 Karlstad	 Drottninggatan 16	 Apoteket Shop Karlstad	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Skellefteå	 Lasarettet	 Apoteket Ugglan	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Skellefteå	 Byske	 Storgatan 4	 Apoteket Örnen	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Skellefteå	 Anderstorpsleden 1	 Apoteket Biet	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Skellefteå	 Kåge	 Nygatan 13	 Apoteket Vågen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Skellefteå	 Skelleftehamn	 S:t Örjansvägen 7	 Apoteket Tärnan	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Jörn	 Storgatan 33	 Apoteket Hjortronet	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Skellefteå	 Boliden	 Ringen 76	 Apoteket Mineral	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Skellefteå	 Burträsk	 Björnåkersgatan 8	 Apoteket Björnen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Skellefteå	 Bureå	 Burviksvägen	 Apoteket Lärkan	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Lövånger	 Kungsvägen 15	 Apoteket Bävern	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Skellefteå	 Trädgårdsgatan 7	 Apoteket Nordstjärnan	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Norsjö	 Nornan	 Storgatan 74	 Apoteket Nornan	 Småföretagare
Västerbotten	 Umeå	 Umeå	 Renmarkstorget 9	 Apoteket Renen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Ridvägen 12	 Apoteket Dragonen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Tegsplan 3C	 Apoteket Teg	 Kvar i Apoteket AB
Västerbotten	 Umeå	 Sävar	 Generalsvägen 19	 Apoteket Sävar	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Morkullevägen 9	 Apoteket Mariehem	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Umeå	 Holmsund	 Himmelska Fridens torg 4	 Apoteket Skeppet	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Examensvägen 3	 Apoteket Ålidhem	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Nordmaling	 Nordmaling	 Storgatan 4	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Umeå	 Hörnefors	 Bruksgatan 4	 Apoteket Hörnefors	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Robertsfors	 Robertsfors	 Storgatan 20D	 Apoteket Diamanten	 Kvar i Apoteket AB
Västerbotten	 Vännäs	 Vännäs	 Östra Järnvägsgatan 16A	 Apoteket Svalan	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Bjurholm	 Bjurholm	 Storgatan 10 A	 Apoteket Bävern	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Vindeln	 Vindeln	 Storvägen 56	 Apoteket Laxen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Lycksele	 Lycksele	 Storgatan 41	 Apoteket Myskoxen	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Sorsele	 Sorsele	 Burevägen 13	 Apoteket Ormen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Storuman	 Tärnaby	 Granvägen 6	 Apoteket Kantarellen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Storuman	 Storuman	 Skolgatan 17A	 Apoteket Lämmeln	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Vilhelmina	 Vilhelmina	 Volgsjövägen 34	 Apoteket Hjortronet	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Dorotea	 Dorotea	 Storgatan 33	 Apoteket Björnen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Åsele	 Åsele	 Bryggaregatan 11	 Apoteket Pärlan	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Malå	 Malå	 Storgatan 19	 Apoteket Myran	 Småföretagare
Västerbotten	 Umeå	 Umeå	 Formvägen 4	 Apoteket Ersboda	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Manusgränd 3	 Apoteket Backen	 Grupp 2 (Kronans Droghandel)
Västerbotten	 Umeå	 Umeå	 Strömpilsplatsen 53	 Apoteket Strömpilen	 Grupp 1 (Apotek Hjärtat)
Västerbotten	 Skellefteå	 Skellefteå	 Varugatan 24	 Apoteket Spoven	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Skellefteå	 Nygatan 50	 Apoteket Shop Skellefteå	 Kvar i Apoteket AB
Västerbotten	 Umeå	 Umeå	 Norrlands Universitetssjukhus	 Apoteket NUS öppenvård	 Kvar i Apoteket AB
Västerbotten	 Umeå	 Umeå	 Kungsgatan 52-54	 Apoteket Shop Umeå	 Kvar i Apoteket AB
Västerbotten	 Skellefteå	 Skellefteå	 Gymnasievägen 8	 Apoteket Staren	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Kramfors	 Bollstabruk	 Ådalsvägen 20	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Sundsvall	 Sundsvall	 Storgatan 18	 Apoteket Gripen	 Kvar i Apoteket AB
Västernorrland	 Sundsvall	 Matfors	 Skölevägen 19	 Apoteket	 Kvar i Apoteket AB
Västernorrland	 Sundsvall	 Alnö	 Raholmsvägen 17	 Apoteket Furan	 Grupp 2 (Kronans Droghandel)
Västernorrland	 Sundsvall	 Liden	 Vårdcentralen	 Apoteket Liden	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Sundsvall	 Sundsvall	 Medborgargatan 30D	 Apoteket Granen	 Grupp 2 (Kronans Droghandel)
Västernorrland	 Sundsvall	 Sundsvall	 Lasarettsvägen 21	 Apoteket Skvadern	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Timrå	 Timrå	 Köpmangatan 31	 Apoteket	 Kvar i Apoteket AB
Västernorrland	 Timrå	 Söråker	 Folketshusvägen 5	 Apoteket	 Kvar i Apoteket AB
Västernorrland	 Sundsvall	 Kvissleby	 Affärsgatan 14A	 Apoteket Spoven	 Grupp 2 (Kronans Droghandel)
Västernorrland	 Ånge	 Ånge	 Centraltorget 3	 Apoteket Ugglan	 Kvar i Apoteket AB
Västernorrland	 Ånge	 Fränsta	 Mårtens väg	 Apoteket Vargen	 Kvar i Apoteket AB
Västernorrland	 Örnsköldsvik	 Örnsköldsvik	 Nygatan 12	 Apoteket Örnen	 Kvar i Apoteket AB
Västernorrland	 Örnsköldsvik	 Örnsköldsvik	 Sjukhuset	 Apoteket Älgen	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Örnsköldsvik	 Husum	 Bruksvägen 187B	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Örnsköldsvik	 Bjästa	 Nätragatan 33	 Apoteket Linblomman	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Örnsköldsvik	 Domsjö	 Sundsvägen 13	 Apoteket Tallen	 Småföretagare
Västernorrland	 Örnsköldsvik	 Bredbyn	 Olympiavägen 8	 Apoteket Myrten	 Kvar i Apoteket AB
Västernorrland	 Örnsköldsvik	 Själevad	 Sjukhemsvägen 2	 Apoteket	 Kvar i Apoteket AB
Västernorrland	 Sollefteå	 Ramsele	 Centrumhuset	 Apoteket Nipsippan	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Sollefteå	 Sollefteå	 Lasarettet	 Apoteket Skärvsta	 Kvar i Apoteket AB
Västernorrland	 Sollefteå	 Sollefteå	 Storgatan 54-56	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Kramfors	 Nyland	 Biskopsgatan 1	 Apoteket Myran	 Kvar i Apoteket AB
Västernorrland	 Kramfors	 Kramfors	 Kungsgatan 5A	 Apoteket Nordstjärnan	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Härnösand	 Härnösand	 Södra vägen 3-5	 Apoteket Kronan	 Kvar i Apoteket AB
Västernorrland	 Härnösand	 Härnösand	 Storgatan 28	 Apoteket Bävern	 Grupp 2 (Kronans Droghandel)
Västernorrland	 Kramfors	 Ullånger	 Sundbrolund	 Apoteket Höga Kusten	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Sundsvall	 Sundsvall	 Västra Vägen 50	 Apoteket Lokatten Granlo	 Småföretagare
Västernorrland	 Sundsvall	 Sundsvall	 Norra vägen 10	 Apoteket Bydalen	 Grupp 1 (Apotek Hjärtat)
Västernorrland	 Örnsköldsvik	 Örnsköldsvik	 Oskargallerian Lasarettsgatan 20	 Apoteket Shop Oskarsgallerian	 Kvar i Apoteket AB
Västernorrland	 Sundsvall	 Sundsvall	 Galleria in Storgatan 36	 Apoteket Shop Galleria In	 Kvar i Apoteket AB
Västernorrland	 Sundsvall	 Sundsvall	 Gesällvägen 1 Birsta	 Apoteket Shop Gesällvägen	 Grupp 2 (Kronans Droghandel)
Västernorrland	 Sundsvall	 Sundsvall	 Gesällvägen 5 Birsta	 Apoteket Kolibrin	 Grupp 2 (Kronans Droghandel)
Västmanland	 Västerås	 Västerås	 Stora gatan 34	 Apoteket Hjorten	 Kvar i Apoteket AB
Västmanland	 Västerås	 Skultuna	 Västeråsvägen 32	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Västerås	 Västerås	 Stenbygatan 1	 Apoteket Mården	 Grupp 3 (Medstop)
Västmanland	 Västerås	 Västerås	 Skiljeboplatsen 2	 Apoteket Misteln	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Västerås	 Västerås	 Regementsgatan 2	 Apoteket Vingen	 Kvar i Apoteket AB
Västmanland	 Västerås	 Västerås	 Bäckby Torg 1	 Apoteket Bäckby	 Grupp 3 (Medstop)
Västmanland	 Västerås	 Västerås	 Repslagargatan 1-2	 Apoteket Humlan	 Småföretagare
Västmanland	 Västerås	 Västerås	 Centrallasarettet	 Apoteket Västerås lasarett EA	 Grupp 6 (Vårdapoteket i Norden)
Västmanland	 Sala	 Sala	 Drottninggatan 11	 Apoteket Renen	 Kvar i Apoteket AB
Västmanland	 Surahammar	 Surahammar	 Köpmangatan 27-29	 Apoteket Illern	 Kvar i Apoteket AB
Västmanland	 Fagersta	 Fagersta	 Bergslagssjukhuset	 Apoteket Bergslagssjukhuset	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Fagersta	 Fagersta	 Stationsvägen 19	 Apoteket Lejonet	 Kvar i Apoteket AB
